data,hora,taxa
2023/07/06,16:20:13,14.036344757285729
2023/07/06,16:20:15,14.070727936677816
2023/07/06,16:20:18,14.004460949994318
2023/07/06,16:20:20,13.201666248576805
2023/07/06,16:20:22,13.921139177055148
2023/07/06,16:20:25,13.92303667016922
2023/07/06,16:20:27,13.738261356361578
2023/07/06,16:20:29,13.269556388148809
2023/07/06,16:20:31,14.068093524945054
2023/07/06,16:20:34,13.361243328237872
2023/07/06,16:20:57,13.409764075549798
2023/07/06,16:21:33,13.611786879152149
2023/07/06,16:21:35,13.263539146247428
2023/07/06,16:21:38,13.97204869595567
2023/07/06,16:21:43,14.020116417276379
2023/07/06,16:21:48,13.985596411998387
2023/07/06,16:21:50,13.678146570313858
2023/07/06,16:21:53,13.55812787239875
2023/07/06,16:21:55,13.343068387305363
2023/07/06,16:21:57,13.985299310306466
2023/07/06,16:21:59,13.433429797801557
2023/07/06,16:23:36,13.49872851960687
2023/07/06,16:23:39,13.572241108909896
2023/07/06,16:23:44,13.698516213652116
2023/07/06,16:23:46,13.515341781938318
2023/07/06,16:23:48,13.423523045503817
2023/07/06,16:23:51,13.86103323265692
2023/07/06,16:23:53,13.381617732064921
2023/07/06,16:23:56,13.576425152582853
2023/07/06,16:23:59,13.847824830971247
2023/07/06,16:24:01,13.74424349526425
